======================================================================
  CIFAR-10 Training: ResNet-20
======================================================================
  Epochs: 200 | Batch: 128 | LR: 0.1
  Weight Decay: 0.0005 | Optimizer: sgd
  Scheduler: CosineAnnealingLR (T_max=200)
  Early Stop: patience=25 | min_delta=0.01
----------------------------------------------------------------------
  Data: 45000 train | 5000 val
----------------------------------------------------------------------
  Model: ResNet-20 | 0.27M params | AMP: True
----------------------------------------------------------------------
Epoch: 086/200 | LR: 0.061672 | Train Loss: 0.6013 | Train Acc: 79.15% | Val Loss: 0.4770 | Val Acc: 84.60% | Best: 84.74% | Patience: 0/25 | Time: 9.9s
Epoch: 087/200 | LR: 0.060907 | Train Loss: 0.6020 | Train Acc: 79.25% | Val Loss: 0.6357 | Val Acc: 79.22% | Best: 84.74% | Patience: 1/25 | Time: 9.9s
Epoch: 088/200 | LR: 0.060139 | Train Loss: 0.5988 | Train Acc: 79.48% | Val Loss: 0.4660 | Val Acc: 84.32% | Best: 84.74% | Patience: 0/25 | Time: 9.9s
Epoch: 089/200 | LR: 0.059369 | Train Loss: 0.6015 | Train Acc: 79.18% | Val Loss: 0.5287 | Val Acc: 83.54% | Best: 84.74% | Patience: 1/25 | Time: 9.9s
Epoch: 090/200 | LR: 0.058596 | Train Loss: 0.6002 | Train Acc: 79.39% | Val Loss: 0.4781 | Val Acc: 83.52% | Best: 84.74% | Patience: 2/25 | Time: 9.9s
Epoch: 091/200 | LR: 0.057822 | Train Loss: 0.5973 | Train Acc: 79.39% | Val Loss: 0.5978 | Val Acc: 81.36% | Best: 84.74% | Patience: 3/25 | Time: 9.9s
Epoch: 092/200 | LR: 0.057045 | Train Loss: 0.5968 | Train Acc: 79.26% | Val Loss: 0.5849 | Val Acc: 81.30% | Best: 84.74% | Patience: 4/25 | Time: 10.0s
Epoch: 093/200 | LR: 0.056267 | Train Loss: 0.5884 | Train Acc: 79.49% | Val Loss: 0.5570 | Val Acc: 81.20% | Best: 84.74% | Patience: 5/25 | Time: 9.9s
Epoch: 094/200 | LR: 0.055487 | Train Loss: 0.5902 | Train Acc: 79.82% | Val Loss: 0.5052 | Val Acc: 83.14% | Best: 84.74% | Patience: 6/25 | Time: 9.9s
Epoch: 095/200 | LR: 0.054705 | Train Loss: 0.5897 | Train Acc: 79.77% | Val Loss: 0.5519 | Val Acc: 82.58% | Best: 84.74% | Patience: 7/25 | Time: 9.9s
Epoch: 096/200 | LR: 0.053923 | Train Loss: 0.5866 | Train Acc: 79.89% | Val Loss: 0.4263 | Val Acc: 85.18% | Best: 85.18% * | Patience: 0/25 | Time: 9.9s
Epoch: 097/200 | LR: 0.053140 | Train Loss: 0.5786 | Train Acc: 79.88% | Val Loss: 0.4523 | Val Acc: 84.58% | Best: 85.18% | Patience: 0/25 | Time: 9.9s
Epoch: 098/200 | LR: 0.052355 | Train Loss: 0.5816 | Train Acc: 80.00% | Val Loss: 0.4276 | Val Acc: 86.08% | Best: 86.08% * | Patience: 0/25 | Time: 9.9s
Epoch: 099/200 | LR: 0.051571 | Train Loss: 0.5783 | Train Acc: 80.06% | Val Loss: 0.5279 | Val Acc: 83.22% | Best: 86.08% | Patience: 1/25 | Time: 9.9s
Epoch: 100/200 | LR: 0.050785 | Train Loss: 0.5686 | Train Acc: 80.47% | Val Loss: 0.5741 | Val Acc: 82.28% | Best: 86.08% | Patience: 2/25 | Time: 9.9s
Epoch: 101/200 | LR: 0.050000 | Train Loss: 0.5783 | Train Acc: 80.02% | Val Loss: 0.4259 | Val Acc: 85.80% | Best: 86.08% | Patience: 0/25 | Time: 9.9s
Epoch: 102/200 | LR: 0.049215 | Train Loss: 0.5670 | Train Acc: 80.48% | Val Loss: 0.4522 | Val Acc: 84.92% | Best: 86.08% | Patience: 1/25 | Time: 9.9s
Epoch: 103/200 | LR: 0.048429 | Train Loss: 0.5606 | Train Acc: 80.64% | Val Loss: 0.3869 | Val Acc: 86.74% | Best: 86.74% * | Patience: 0/25 | Time: 9.9s
Epoch: 104/200 | LR: 0.047645 | Train Loss: 0.5654 | Train Acc: 80.34% | Val Loss: 0.4669 | Val Acc: 84.44% | Best: 86.74% | Patience: 1/25 | Time: 9.9s
Epoch: 105/200 | LR: 0.046860 | Train Loss: 0.5588 | Train Acc: 80.51% | Val Loss: 0.5687 | Val Acc: 82.56% | Best: 86.74% | Patience: 2/25 | Time: 9.9s
Epoch: 106/200 | LR: 0.046077 | Train Loss: 0.5587 | Train Acc: 80.82% | Val Loss: 0.5006 | Val Acc: 83.82% | Best: 86.74% | Patience: 3/25 | Time: 10.0s
Epoch: 107/200 | LR: 0.045295 | Train Loss: 0.5479 | Train Acc: 81.20% | Val Loss: 0.4414 | Val Acc: 85.48% | Best: 86.74% | Patience: 4/25 | Time: 10.0s
